Проект,Категории,Цена,Заявки
Написать простую программу для просмотра сайтов (серфинга за оплату),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Доработка функционала платного шаблона WP,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,10 заявок
Написать JS библиотеку которая считывает текст и превращает его в звук,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Продвижение интернет-магазина в Яндекс.Маркет,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,4 заявки
Требуется диктор для записи текста на иностранных языках,"<a class=""text-muted"" href=""/jobs/?category_id=42"">Озвучивание</a>",None,6 заявок
Консультант по Wordpress; базовые вопросы,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,2 заявки
Доработать Google Translate Advanced для Opencart 2.2 мултивендор,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Необходима иллюстрация,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,22 заявки
Настроить ВИДЕО КАНАЛЫ,"<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,2 заявки
MODX revo,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,6 заявок
Сверстать сайт с небольшим калькулятором,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,None
Плагин для CKEditor,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Контент-менеджер на медицинский сайт на Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,12 заявок
Почистить хостинг от вирусов ! Установить причину попадания.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,10 заявок
Настройка SMTP сервера,"<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,7 заявок
Изготовить дизайн лэндинг-пейдж,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,40 заявок
Редизайн этикетки спортивного питания,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",None,8 заявок
Вёрстка,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,10 заявок
Ручной сбор контактов по 1 области,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,6 заявок
"Курсовая работа по дисциплине ""Психология развития""","<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",None,5 заявок
Написать программу для сенсора kinect для работы с простыми играми,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Автоматический обменник,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",$1500,11 заявок
Сайт под ключ на opencart,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",$300,10 заявок
Сделать две фичи на сайте WP,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
"Дизайн для упаковки семечек, арахиса","<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",None,13 заявок
Сайт для отслеживания лотов на au.ru,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,5 заявок
Разработка макроса для Outlook,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Сайт под ключ для онлайн типографии,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,12 заявок
Требуется копирайт.,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,5 заявок
Описания для продукции металлопроката 21шт.,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,16 заявок
Новый дизайн для сайта,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$200,нет заявок
Настроить СЕО для индексации на opencart,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,9 заявок
Отрисовать 25 картинок-иконок,"<a class=""text-muted"" href=""/jobs/?category_id=14"">Пиксел-арт/Иконки</a>",None,13 заявок
Проверяльщик PROXY на PHP,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
"Программу конвертатора, картография","<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,1 заявка
Создание сайта помощь студентам авторские работы,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,7 заявок
